permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_year,first_funding_at,last_funding_at,last_milestone_at
/company/33across,33Across,advertising,24134560,operating,USA,NY,New York,New York,4,2007-09-01,2007,2009-03-13,2012-07-19,2013-09-03
/company/5min,5min Media,games_video,12800000,acquired,USA,NY,New York,NY,3,2007-01-01,2007,2007-04-01,2009-07-23,2011-10-11
/company/actionx,ActionX,mobile,3000000,operating,USA,NY,New York,New York,1,,,2013-09-16,2013-09-16,
/company/activepath,ActivePath,finance,13250001,operating,USA,NY,New York,New York,2,2007-01-01,2007,2011-09-19,2012-11-30,2012-11-27
/company/adaptiveblue,AdaptiveBlue,games_video,24020000,operating,USA,NY,New York,NYC,4,2007-01-01,2007,2007-02-15,2012-01-11,2010-12-03
/company/adapt-ly,Adaptly,advertising,13200000,operating,USA,NY,New York,New York,3,2010-04-14,2010,2010-10-01,2012-05-09,2013-01-01
/company/adcade,Adcade,advertising,1500000,operating,USA,NY,New York,New York,1,2011-12-01,2011,2012-11-01,2012-11-01,2011-12-01
/company/ak-networks,AdKeeper,advertising,43000000,operating,USA,NY,New York,New York,2,2010-01-01,2010,2010-09-15,2011-01-03,2010-12-16
/company/admeld,Admeld,advertising,30000000,acquired,USA,NY,New York,New York,3,2007-10-01,2007,2008-11-10,2010-08-01,2011-12-02
/company/admitted-ly,Admitted.ly,education,415000,operating,USA,NY,New York,New York,2,2013-05-01,2013,2013-06-03,2013-07-01,2013-06-07
/company/adore-me,Adore Me,fashion,11500000,operating,USA,NY,New York,New York,3,2011-05-01,2011,2011-11-01,2013-07-09,2012-06-06
/company/adviceiq,AdviceIQ,finance,5000000,operating,USA,NY,New York,New York,2,,,2013-04-08,2013-09-23,
/company/aereo,Aereo,web,63000000,operating,USA,NY,New York,Long Island City,3,2011-01-01,2011,2011-04-15,2013-01-08,2013-08-01
/company/affinity-solutions,Affinity Solutions,finance,35500000,operating,USA,NY,New York,New York,3,1998-01-01,1998,2011-07-27,2013-06-10,
/company/agolo,Agolo,web,40000,operating,USA,NY,New York,New York,1,2012-12-07,2012,2013-06-03,2013-06-03,2013-09-27
/company/aidin,Aidin,software,600000,operating,USA,NY,New York,New York,1,,,2012-06-16,2012-06-16,2012-06-15
/company/aksel-paris,AKSEL GROUP,fashion,500000,operating,USA,NY,New York,New York,1,2010-01-01,2010,2011-11-07,2011-11-07,
/company/am-analytics,AM Analytics,social,,acquired,USA,NY,New York - Other,,1,,,2009-09-09,2009-09-09,2008-10-01
/company/amiestreet,Amie Street,web,3900000,acquired,USA,NY,New York,Long Island City,2,2011-07-04,2011,2007-08-01,2009-10-08,
/company/amplience,Amplience,ecommerce,8285264,operating,USA,NY,New York,New York,2,2008-01-01,2008,2011-02-22,2013-07-30,2011-01-01
/company/amplify,Amplify,education,4500000,operating,USA,NY,New York,Brooklyn,1,2012-01-01,2012,2011-12-14,2011-12-14,2013-03-06
/company/answerology,Answerology,web,,acquired,USA,NY,New York,New York,1,,,2006-01-01,2006-01-01,
/company/appboy,Appboy,mobile,2500000,operating,USA,NY,New York,New York,2,2011-01-01,2011,2011-11-23,2012-03-26,2013-01-09
/company/appfirst,AppFirst,analytics,15200000,operating,USA,NY,New York,New York,4,2009-04-01,2009,2010-04-20,2012-12-06,2012-12-06
/company/application-security,Application Security,software,10000000,operating,USA,NY,New York,New York,1,2001-01-01,2001,2006-04-17,2006-04-17,2011-07-01
/company/apprenda,Apprenda,software,15000000,operating,USA,NY,Clifton Park,Clifton Park,2,2007-01-01,2007,2009-11-09,2011-08-09,2012-11-27
/company/appycouple,Appy Couple,web,1225000,operating,USA,NY,New York,New York,2,,,2012-01-09,2012-10-20,2013-03-04
/company/aristotle-circle,Aristotle Circle,education,2450000,operating,USA,NY,New York,New York,2,2009-08-01,2009,2010-08-19,2011-04-19,2012-02-27
/company/arkadin,Arkadin,enterprise,,operating,USA,NY,New York,New York,1,2001-01-01,2001,2012-07-05,2012-07-05,2011-01-01
/company/arkadium,Arkadium,games_video,5025000,operating,USA,NY,New York,New York,2,2001-01-01,2001,2002-09-01,2013-03-14,2013-07-17
/company/article-one-partners,Article One Partners,software,10000000,operating,USA,NY,New York,New York,2,2008-01-01,2008,2009-12-15,2012-03-05,2012-03-05
/company/asmallworld,aSmallWorld,web,,operating,USA,NY,New York,New York,1,2004-03-01,2004,2006-05-22,2006-05-22,2013-05-13
/company/assured-labor,Assured Labor,web,6500000,operating,USA,NY,New York,New York,2,2008-05-01,2008,2010-04-29,2013-04-24,2013-04-24
/company/astro-ape,Astro Ape,games_video,,closed,USA,NY,New York,New York,1,2009-01-01,2009,2010-09-01,2010-09-01,
/company/audio-network,Audio Network,games_video,,operating,USA,NY,New York,New York,1,2001-07-23,2001,2013-07-27,2013-07-27,2013-09-16
/company/autotask,Autotask,software,6000000,operating,USA,NY,East Greenbush,East Greenbush,1,2001-01-01,2001,2006-06-20,2006-06-20,2010-12-23
/company/aviary,Aviary,mobile,17000000,operating,USA,NY,New York,NY,3,2007-01-01,2007,2007-01-01,2012-06-27,2013-08-29
/company/axialmarket,Axial Market,finance,8500000,operating,USA,NY,New York,New York,2,2006-01-01,2006,2010-11-05,2012-05-17,2013-02-12
/company/ba-insight,BA Insight,software,14500000,operating,USA,NY,New York,New York,3,2004-01-01,2004,2010-09-20,2013-04-03,2013-02-01
/company/barnes-noble,Barnes & Noble,ecommerce,300000000,ipo,USA,NY,New York,New York City,1,1917-01-01,1917,2012-04-30,2012-04-30,2013-08-20
/company/basno,basno,web,1000000,operating,USA,NY,New York,New York,1,,,2013-07-02,2013-07-02,2013-07-02
/company/baublebar,BaubleBar,fashion,5600000,operating,USA,NY,New York,New York,2,2011-01-01,2011,2010-11-05,2012-07-23,
/company/beautystat-com,BeautyStat.com,ecommerce,,operating,USA,NY,New York,New York,1,2012-02-07,2012,2013-05-20,2013-05-20,2012-02-07
/company/beezag,Beezag,advertising,3250000,operating,USA,NY,New York,New York,2,2009-02-01,2009,2008-01-01,2010-01-24,2010-02-22
/company/behance,Behance,web,6500000,acquired,USA,NY,New York,New York,1,2006-02-01,2006,2012-05-14,2012-05-14,2013-05-22
/company/bench,Bench,software,2000000,operating,USA,NY,New York,New York,2,2012-01-01,2012,2012-03-01,2013-07-16,2013-07-16
/company/bespoke-global,Bespoke Global,ecommerce,3030712,operating,USA,NY,New York,New York,3,,,2011-09-22,2013-04-05,
/company/bespoke-post,Bespoke Post,web,875000,operating,USA,NY,New York,New York,3,2011-01-01,2011,2011-06-06,2013-03-29,2013-03-29
/company/bestvendor,BestVendor,software,3600000,acquired,USA,NY,New York,New York,2,2011-01-01,2011,2011-06-21,2011-12-19,2013-08-26
/company/betaworks,betaworks,social,27500000,operating,USA,NY,New York,New York,2,2007-01-01,2007,2008-01-01,2010-03-11,2013-09-23
/company/bettercloud,BetterCloud,enterprise,13250000,operating,USA,NY,New York,New York,3,2011-11-01,2011,2012-05-10,2013-09-25,2013-07-13
/company/betterfly,Betterfly,web,2500000,operating,USA,NY,New York,New York,3,2010-01-01,2010,2010-09-20,2013-08-21,2013-08-21
/company/betterment,Betterment,finance,13000000,operating,USA,NY,New York,New York,2,2008-08-25,2008,2010-12-01,2012-10-03,2013-02-04
/company/bib-tuck,Bib + Tuck,ecommerce,600000,operating,USA,NY,New York,New York,1,2012-07-01,2012,2013-06-12,2013-06-12,2013-06-12
/company/bigthink,Big Think,web,,operating,USA,NY,New York,New York,1,2008-01-01,2008,2007-06-01,2007-06-01,2013-01-01
/company/binary-event-network,Binary Event Network,finance,,operating,USA,NY,New York,New York,1,2011-01-01,2011,2013-01-09,2013-01-09,2012-10-01
/company/birchbox,Birchbox,ecommerce,11900000,operating,USA,NY,New York,New York,2,2010-01-01,2010,2010-10-27,2011-08-17,2013-01-10
/company/bitinstant,BitInstant,fashion,1500000,operating,USA,NY,New York,New York,1,,,2013-05-18,2013-05-18,2012-02-01
/company/bitly,Bitly,web,31400000,operating,USA,NY,New York,New York,6,2008-01-01,2008,2008-01-01,2012-07-10,2013-07-30
/company/black-ocean,Black Ocean,web,100000000,operating,USA,NY,New York,New York,1,2010-01-01,2010,2011-09-01,2011-09-01,2013-02-13
/company/blazemeter,BlazeMeter,enterprise,1200000,operating,USA,NY,New York,New York,1,2011-12-06,2011,2011-12-06,2011-12-06,2013-05-30
/company/blog-talk-radio,Blog Talk Radio,web,6536608,operating,USA,NY,New York,New York,3,2006-07-01,2006,2007-01-01,2010-03-29,2013-01-01
/company/bluefly,Bluefly,ecommerce,21600000,ipo,USA,NY,New York,New York,2,1991-01-01,1991,2009-11-22,2011-09-15,2010-01-01
/company/bmobilized,bMobilized,mobile,1500000,operating,USA,NY,New York,New York,1,,,2012-05-02,2012-05-02,2012-12-20
/company/boardvote-inc,Boardvote Inc.,web,200000,operating,USA,NY,New York,New York City,1,2012-01-02,2012,2012-03-01,2012-03-01,2012-01-02
/company/bolster,Bolster,web,750000,operating,USA,NY,New York,New York,1,2012-01-03,2012,2012-01-03,2012-01-03,2013-01-01
/company/bolt-solutions,BOLT Solutions,software,11500000,operating,USA,NY,New York,New York,1,2000-01-01,2000,2006-08-11,2006-08-11,
/company/bombfell,Bombfell,fashion,730000,operating,USA,NY,New York,New York,2,,,2012-04-01,2013-02-13,2013-02-13
/company/bomoda,Bomoda,fashion,2200000,operating,USA,NY,New York,New York,1,,,2012-08-01,2012-08-01,
/company/bonds-com,BONDS.COM,finance,23100000,operating,USA,NY,New York,New York,2,2013-04-01,2013,2011-03-01,2011-12-05,2011-12-13
/company/bondsy,Bondsy,web,754466,operating,USA,NY,New York,Brooklyn,2,2011-06-09,2011,2012-05-13,2012-07-01,2013-05-23
/company/bonobos,Bonobos,ecommerce,72650000,operating,USA,NY,New York,New York,5,2007-06-01,2007,2008-09-01,2013-03-13,2013-03-29
/company/booker-software,Booker,software,42000000,operating,USA,NY,New York,New York,2,2010-10-01,2010,2011-10-19,2013-04-17,2012-06-04
/company/boomset,Boomset,mobile,151000,operating,USA,NY,New York,New York,3,2011-02-14,2011,2012-04-05,2012-12-26,2012-01-01
/company/borderfree-inc,Borderfree Inc,ecommerce,11100000,operating,USA,NY,New York,New York,2,1999-01-01,1999,2003-05-01,2012-07-06,2013-04-09
/company/boundlessgeo,Boundless Geo,software,3000000,operating,USA,NY,New York,Brooklyn,1,,,2013-05-15,2013-05-15,
/company/bountyjobs,BountyJobs,web,25299998,operating,USA,NY,New York,New York,4,2006-11-14,2006,2006-01-01,2011-09-07,2011-08-23
/company/branch,Branch,web,2000000,operating,USA,NY,New York,New York,1,2011-09-01,2011,2012-03-06,2012-03-06,2013-07-17
